year,model_type,n_train,n_test,mae,rmse,spearman,r2
2010,pick_cfb_bin,1873,173,3.3563119331228832,4.545201395294415,0.5490716290970815,0.2742255187633522
2010,spline,1873,173,3.4022921029809616,4.476430280306705,0.5622487228243201,0.2960220101024782
2010,xgb,1873,173,3.6617059046133407,4.862311099423452,0.5147525051104285,0.16942105804781582
2010,tabnet,1873,173,3.9079835249509425,6.263805283629767,0.5496692184095996,-0.3783894136464494
2015,pick_cfb_bin,2761,175,3.4767117126040046,4.740649659836369,0.5354908725684441,0.2781006131555308
2015,spline,2761,175,3.282337307845728,4.367599979399612,0.6416145449972401,0.38724528698439564
2015,xgb,2761,175,3.134115015608924,4.4132072119199774,0.6407207390665645,0.37438149198147264
2015,tabnet,2761,175,3.4413660539899555,4.576027146862043,0.5358770788239391,0.3273670560676918
2020,pick_cfb_bin,3701,208,3.439103756344143,4.840896454311614,0.5257572470743613,0.29872693541116824
2020,spline,3701,208,3.3780519383556675,4.523559321505528,0.5796005104182874,0.3876550343376325
2020,xgb,3701,208,3.131640658355676,4.276283801550277,0.6159172745584323,0.45277162072219934
2020,tabnet,3701,208,3.7723400787665295,5.364976182626861,0.41385960535971794,0.13866683784130374
2024,pick_cfb_bin,4547,192,3.263882898094321,4.2589331810207165,0.561187108689118,0.3955485462836359
2024,spline,4547,192,3.0802527249084037,3.9446971491058593,0.6546857914186441,0.4814542179192498
2024,xgb,4547,192,2.8629225196006396,3.7142481845342497,0.6553439474098043,0.5402713039402436
2024,tabnet,4547,192,3.1625001952052116,4.096422205465699,0.6428849014376099,0.4407973808385992
