test_year,n_train,n_test,cfb_match_train_rate,cfb_match_test_rate,pick_cfb_bin_mae,pick_cfb_bin_rmse,pick_cfb_bin_spearman,pick_cfb_bin_r2,spline_mae,spline_rmse,spline_spearman,spline_r2,xgb_mae,xgb_rmse,xgb_spearman,xgb_r2,tabnet_mae,tabnet_rmse,tabnet_spearman,tabnet_r2
2010,1873,173,0.002135611318739989,0.5317919075144508,3.3563119331228832,4.545201395294415,0.5490716290970815,0.2742255187633522,3.4022921029809616,4.476430280306705,0.5622487228243201,0.2960220101024782,3.6617059046133407,4.862311099423452,0.5147525051104285,0.16942105804781582,3.9079835249509425,6.263805283629767,0.5496692184095996,-0.3783894136464494
2011,2046,188,0.0469208211143695,0.6117021276595744,4.0623645444543435,5.835854360871162,0.5148740215655863,0.21826980195557,3.8178839776369085,5.337052332625529,0.6008874587294263,0.3461909597170091,3.7606740276864232,5.2832202912666935,0.6042587849757619,0.3593136993749456,4.390154795443758,6.157917533905794,0.3783106385803926,0.12960630607024592
2012,2234,184,0.09444941808415398,0.532608695652174,3.8804409899198937,5.430742971768558,0.5038722627309391,0.17589064787574882,3.2716635106528473,4.752284490007832,0.6390781259534697,0.36893919438879386,3.3985579797755117,4.7375179253072455,0.613807075182791,0.37285483647512396,3.66888420737308,5.060813095262568,0.5385178106979586,0.2843396744764143
2013,2418,174,0.12779156327543426,0.6091954022988506,3.5974296403463715,4.948955878239407,0.5356038090037826,0.12329421584401545,3.5379053490336467,4.6416419008183345,0.4838717174568297,0.22879475983349373,3.7151230513706976,4.940189379931707,0.46301102002290306,0.12639742906907103,3.3350815033090524,4.49176642581298,0.5445372027859685,0.27779409129014854
2014,2592,169,0.16010802469135801,0.5562130177514792,3.706132647892746,5.018607593464457,0.5043470096321446,0.2645952394656004,3.7730628221024793,4.92246591679052,0.531866696054882,0.2925017114454743,3.6123035504267764,4.816440000045699,0.5397862874832112,0.32265135379519416,4.048636686167068,5.28231653076551,0.44405462208179103,0.18527920461212954
2015,2761,175,0.18435349511046722,0.52,3.4767117126040046,4.740649659836369,0.5354908725684441,0.2781006131555308,3.282337307845728,4.367599979399612,0.6416145449972401,0.38724528698439564,3.134115015608924,4.4132072119199774,0.6407207390665645,0.37438149198147264,3.4413660539899555,4.576027146862043,0.5358770788239391,0.3273670560676918
2016,2936,182,0.20435967302452315,0.5384615384615384,3.97694407410952,5.738265187108755,0.47024231306325354,0.001874439111941184,3.5617297918285944,5.032544512099565,0.5540703678312353,0.23228646453133117,3.5621575246472936,4.876452561921219,0.5550060546042936,0.2791714898397708,3.718526521881858,5.2647748838798085,0.4986719128899268,0.15979829233772924
2017,3118,192,0.22386144964720975,0.84375,4.0349244370900825,5.392897349302556,0.46398065591684445,0.151558260984342,3.687473247013434,4.921041350969074,0.5387506019971646,0.29353321737842486,3.5519520047431192,4.792946758795957,0.5347807944610707,0.3298331718790197,3.843622905512651,5.178589826131237,0.5132100171167946,0.2176506152535097
2018,3310,196,0.2598187311178248,0.8163265306122449,3.4695471383812366,4.760887201952594,0.5492749791542607,0.30981548108217105,2.9685192481386684,4.1939867635606065,0.673909700538095,0.464396334377966,2.9476148663278745,4.243035178927642,0.6288355993264242,0.4517953756468659,3.095340919737913,4.5295967715879915,0.651044868037124,0.37524676350901476
2019,3506,195,0.29092983456930976,0.8666666666666667,3.4142751325106215,4.757544280399525,0.5735219604826726,0.18815462947389405,3.259262257392033,4.247322682427273,0.5895895741325121,0.35294953424999953,3.104670542020064,4.117995610082436,0.6039157584539718,0.3917538077254914,3.284683948908097,4.371667029257043,0.5738632358220535,0.31450894397161755
2020,3701,208,0.3212645231018644,0.7980769230769231,3.439103756344143,4.840896454311614,0.5257572470743613,0.29872693541116824,3.3780519383556675,4.523559321505528,0.5796005104182874,0.3876550343376325,3.131640658355676,4.276283801550277,0.6159172745584323,0.45277162072219934,3.7723400787665295,5.364976182626861,0.41385960535971794,0.13866683784130374
2021,3909,217,0.34663596827833204,0.7327188940092166,3.736182234914416,5.003424130396922,0.4851558764901596,0.26656342338264427,3.716359775110405,4.864582745881787,0.5303434931792559,0.30670332523711286,3.758613413380038,4.938525280438905,0.4818407503837604,0.28546667333429243,3.536179430473785,4.679693192615158,0.5051037326162845,0.35840246145975774
2022,4126,210,0.36694134755210855,0.7761904761904762,3.9548971573470766,5.497557596223778,0.4423429494703083,-0.03462042661232001,3.559190212153874,4.625349068519892,0.5196670755649543,0.2676300772530059,3.6877063884621575,4.83259778557342,0.5056607906571118,0.20052889183825484,3.7043313934689475,4.693874139271772,0.4752845826651911,0.24576904430319912
2023,4336,211,0.3867619926199262,0.7914691943127962,3.5761062025500308,4.883367400494892,0.44918704508911983,0.16616824934095198,3.1780970937116404,4.220307172201571,0.5575792650137114,0.3772299009651927,3.243773177619229,4.402467781683117,0.5421392440389864,0.322308557648043,3.116410829444632,4.193648812246275,0.6097930879110787,0.38507273983039203
2024,4547,192,0.40554211568066856,0.796875,3.263882898094321,4.2589331810207165,0.561187108689118,0.3955485462836359,3.0802527249084037,3.9446971491058593,0.6546857914186441,0.4814542179192498,2.8629225196006396,3.7142481845342497,0.6553439474098043,0.5402713039402436,3.1625001952052116,4.096422205465699,0.6428849014376099,0.4407973808385992
